;Id;username;party;text;created_at;retweet_count;favorite_count;language;text_modif;traducciones;day;month;year
10;10;jaumecollboni;psc;Unión Europea: Por una Europa más unida y más fuerte | Opinión | EL PAÍS por ⁦@JosepBorrellF⁩  ;2018-10-25 09:28:28;5;9;es;Unión Europea: Por una Europa más unida y más fuerte | Opinión | EL PAÍS por ⁦@JosepBorrellF⁩  ;Unión Europea: Por una Europa más unida y más fuerte | Opinión | EL PAÍS por ⁦@JosepBorrellF⁩  ;25;10;2018
11;11;miqueliceta;psc;La inaplazable reforma de la justicia, editorial de El Periódico de Catalunya, 11.11.2018  vía @Elperiodico;2018-11-11 10:01:26;8;11;es;La inaplazable reforma de la justicia, editorial de El Periódico de Catalunya, 11.11.2018  vía @Elperiodico;La inaplazable reforma de la justicia, editorial de El Periódico de Catalunya, 11.11.2018  vía @Elperiodico;11;11;2018
12;12;xavierdomenechs;comuns;"“Estas son las reglas del juego en nuestro Estado de Derecho y en nuestra democracia” (Lesmes) la clave aquí está en la palabra ""nuestro"", ""nuestro Estado"" ";2018-11-07 13:21:20;254;483;es;"“Estas son las reglas del juego en nuestro Estado de Derecho y en nuestra democracia” (Lesmes) la clave aquí está en la palabra ""nuestro"", ""nuestro Estado"" ";"“Estas son las reglas del juego en nuestro Estado de Derecho y en nuestra democracia” (Lesmes) la clave aquí está en la palabra ""nuestro"", ""nuestro Estado"" ";7;11;2018
13;13;quimtorraipla;jxcat;Estimat @JMatasD i resta de membres de la Sindicadura. Gràcies per la vostra feina. Amb vosaltres, ens jutgen a tots. Som al vostre costat. No acceptarem cap sentència que no sigui l’absolució. Abraçades  #PosarUrnesNoÉsDelicte ;2018-10-25 19:47:46;431;1016;ca;Estimat @JMatasD i resta de membres de la Sindicadura. Gràcies per la vostra feina. Amb vosaltres, ens jutgen a tots. Som al vostre costat. No acceptarem cap sentència que no sigui l’absolució. Abraçades  #PosarUrnesNoÉsDelicte ;Estimado @JMatasD y resto de miembros de la Sindicadura. Gracias por su trabajo. Con vosotros, nos juzgan a todos. Estamos a su lado. No aceptaremos ninguna sentencia que no sea la absolución. Abrazos # PosarUrnesNoÉsDelicte ;25;10;2018
14;14;xavierdomenechs;comuns;"Avui he pogut estar amb @jcuixart @junqueras @raulromeva i veure a @jorditurull @joseprull @quimforn i espero poder veure a la resta en breu. 

Hem pogut parlar del futur de Catalunya en un diàleg que s’ha de fer en llibertat. La seva, la de tots i totes.";2018-08-01 19:52:27;179;633;ca;"Avui he pogut estar amb @jcuixart @junqueras @raulromeva i veure a @jorditurull @joseprull @quimforn i espero poder veure a la resta en breu. 

Hem pogut parlar del futur de Catalunya en un diàleg que s’ha de fer en llibertat. La seva, la de tots i totes.";Hoy he podido estar con @jcuixart @junqueras @raulromeva y ver a @jorditurull @joseprull @quimforn y espero poder ver el resto en breve. Hemos podido hablar del futuro de Cataluña en un diálogo que se debe hacer en libertad. Su, la de todos y todas. ;1;8;2018
15;15;adacolau;comuns;Ahir es va produïr un nou atac feixista a #9Barris amb violència i símbols nazis. Demanem q @interiorcat i fiscalia actuïn amb tota la contundència contra aquestes expressions d’odi a la ciutat. Barcelona és i serà sempre antifeixista.;2018-07-25 07:03:55;495;1322;ca;Ahir es va produïr un nou atac feixista a #9Barris amb violència i símbols nazis. Demanem q @interiorcat i fiscalia actuïn amb tota la contundència contra aquestes expressions d’odi a la ciutat. Barcelona és i serà sempre antifeixista.;Ayer se produjo un nuevo ataque fascista a # 9Barris con violencia y símbolos nazis. Pedimos q @interiorcat y fiscalía actúen con toda la contundencia contra estas expresiones de odio en la ciudad. Barcelona es y será siempre antifascista. ;25;7;2018
16;16;santirodriguez;ppc;"A Comissió d'empresa explicant les conseqüències del procès sobre les inversions a Catalunya.
@PPCatalunya 

";2018-10-19 16:35:46;2;4;ca;"A Comissió d'empresa explicant les conseqüències del procès sobre les inversions a Catalunya.
@PPCatalunya 

";A Comisión de empresa explicando las consecuencias del proceso sobre las inversiones en Cataluña. @PPCatalunya ;19;10;2018
17;17;santirodriguez;ppc;.@rogertorrent tenies l'oportunitat de posicionar-te contra la violencia i no ho has fet. No ens sentim representats!;2018-03-25 20:14:01;27;52;ca;.@rogertorrent tenies l'oportunitat de posicionar-te contra la violencia i no ho has fet. No ens sentim representats!;. @ Rogertorrent tenías la oportunidad de posicionarte contra la violencia y no lo has hecho. No nos sentimos representados! ;25;3;2018
18;18;albert_rivera;cs;“Democracia y libertad es lo que representa y significa para España, para el pueblo español, nuestra Constitución”. Magnífica intervención del Jefe del Estado reivindicando los valores que hacen de España una gran nación. #PremiosPrincesaDeAsturias ;2018-10-19 19:47:41;2004;4826;es;“Democracia y libertad es lo que representa y significa para España, para el pueblo español, nuestra Constitución”. Magnífica intervención del Jefe del Estado reivindicando los valores que hacen de España una gran nación. #PremiosPrincesaDeAsturias ;“Democracia y libertad es lo que representa y significa para España, para el pueblo español, nuestra Constitución”. Magnífica intervención del Jefe del Estado reivindicando los valores que hacen de España una gran nación. #PremiosPrincesaDeAsturias ;19;10;2018
19;19;albiol_xg;ppc;En la cena de #PremioPlaneta2018. Un referente internacional al que el @govern le ha dado plantón. Que pena de gente... ;2018-10-15 20:06:24;57;161;es;En la cena de #PremioPlaneta2018. Un referente internacional al que el @govern le ha dado plantón. Que pena de gente... ;En la cena de #PremioPlaneta2018. Un referente internacional al que el @govern le ha dado plantón. Que pena de gente... ;15;10;2018
20;20;jaumecollboni;psc;La meva condemna als alderulls d’aquest vespre. Els carrers i les places són de tots i totes, i les hem de viure amb respecte. Les manifestacions violentes no tenen cabuda a Barcelona. ;2018-10-18 20:13:25;25;61;ca;La meva condemna als alderulls d’aquest vespre. Els carrers i les places són de tots i totes, i les hem de viure amb respecte. Les manifestacions violentes no tenen cabuda a Barcelona. ;Mi condena los altercados de esta noche. Las calles y las plazas son de todos y todas, y las hemos de vivir con respeto. Las manifestaciones violentas no tienen cabida en Barcelona. ;18;10;2018
21;21;adacolau;comuns;One year ago BCN suffered one of the worst attacks in its history.They hurt us deeply, but they didn't infect us with their hatred.We're a city of peace proud of our diversity. Tomorrow is a day to express our solidarity with the victims and loved ones with tenderness and respect ;2018-08-16 19:15:48;148;280;en;One year ago BCN suffered one of the worst attacks in its history.They hurt us deeply, but they didn't infect us with their hatred.We're a city of peace proud of our diversity. Tomorrow is a day to express our solidarity with the victims and loved ones with tenderness and respect ;Hace un año, BCN sufrió uno de los peores ataques de su historia. Nos lastimaron profundamente, pero no nos infectaron con su odio. Somos una ciudad de paz orgullosa de nuestra diversidad. Mañana es un día para expresar nuestra solidaridad con las víctimas y seres queridos con ternura y respeto. ;16;8;2018
22;22;albert_rivera;cs;En esta tribuna ⁦@nachoprendes⁩ explica el vergonzoso cambalache para controlar el Poder Judicial de PPSOE con Podemos.  ;2018-11-15 13:52:38;166;246;es;En esta tribuna ⁦@nachoprendes⁩ explica el vergonzoso cambalache para controlar el Poder Judicial de PPSOE con Podemos.  ;En esta tribuna ⁦@nachoprendes⁩ explica el vergonzoso cambalache para controlar el Poder Judicial de PPSOE con Podemos.  ;15;11;2018
23;23;jaumecollboni;psc;L’enhorabona @annaterronc per l’oportunitat de posar tot el teu coneixement, la teva experiència i bagatge en relacions internacionals el servei d’estrènyer els nostres llaços amb els països germans d’Iberoamerica ;2018-09-21 15:21:31;3;9;ca;L’enhorabona @annaterronc per l’oportunitat de posar tot el teu coneixement, la teva experiència i bagatge en relacions internacionals el servei d’estrènyer els nostres llaços amb els països germans d’Iberoamerica ;La enhorabuena @annaterronc por la oportunidad de poner todo tu conocimiento, tu experiencia y bagaje en relaciones internacionales el servicio de estrechar nuestros lazos con los países hermanos de Iberoamerica ;21;9;2018
24;24;krls;jxcat;"Per molts anys @joseprull puguis veure la vida que tens per davant, amb els teus. Recorrent el camí de la llibertat, els drets civils, la no violència. Martin Luther King, Jr. en parla al seu ""Why We Can't Wait"" i les seves frases finals ens continuen inspirant. @AmicsJosepRull ";2018-09-02 08:57:01;1526;4894;ca;"Per molts anys @joseprull puguis veure la vida que tens per davant, amb els teus. Recorrent el camí de la llibertat, els drets civils, la no violència. Martin Luther King, Jr. en parla al seu ""Why We Can't Wait"" i les seves frases finals ens continuen inspirant. @AmicsJosepRull ";"Por muchos años @joseprull puedas ver la vida que tienes por delante, con los tuyos. Recorriendo el camino de la libertad, los derechos civiles, la no violencia. Martin Luther King, Jr. habla a su ""Why We Can not Wait"" y sus frases finales nos siguen inspirando. @AmicsJosepRull ";2;9;2018
25;25;albert_rivera;cs;🎙El mercadeo político en el Poder Judicial es malo para España y malo para la Justicia. La pregunta es: ¿por qué está tan contento el PP con ese pacto oscuro que daña nuestras instituciones y entrega a Sánchez-Iglesias el control del CGPJ? @HerreraenCOPE ;2018-11-14 09:06:43;499;688;es;🎙El mercadeo político en el Poder Judicial es malo para España y malo para la Justicia. La pregunta es: ¿por qué está tan contento el PP con ese pacto oscuro que daña nuestras instituciones y entrega a Sánchez-Iglesias el control del CGPJ? @HerreraenCOPE ;🎙El mercadeo político en el Poder Judicial es malo para España y malo para la Justicia. La pregunta es: ¿por qué está tan contento el PP con ese pacto oscuro que daña nuestras instituciones y entrega a Sánchez-Iglesias el control del CGPJ? @HerreraenCOPE ;14;11;2018
26;26;joantarda;erc;1. Molt d’acord amb el q diu @jordisanchezp avui al @diariARA Cal fer possible un referèndum efectiu. Fa temps que ho diem i així ho hem manifestat des del faristol del Congrés.;2018-07-29 07:53:30;148;375;ca;1. Molt d’acord amb el q diu @jordisanchezp avui al @diariARA Cal fer possible un referèndum efectiu. Fa temps que ho diem i així ho hem manifestat des del faristol del Congrés.;1. Muy de acuerdo con lo q dice @jordisanchezp hoy en @diariARA Necesario posible un referéndum efectivo. Hace tiempo que lo decimos y así lo hemos manifestado desde el atril del Congreso. ;29;7;2018
27;27;albert_rivera;cs;Así responde el Gobierno Sánchez a la pregunta clara de si se propone o no indultar a quienes dieron un golpe a nuestra democracia. Está muy claro por qué. 🎥👇🏻 ;2018-11-14 19:18:42;1445;1867;es;Así responde el Gobierno Sánchez a la pregunta clara de si se propone o no indultar a quienes dieron un golpe a nuestra democracia. Está muy claro por qué. 🎥👇🏻 ;Así responde el Gobierno Sánchez a la pregunta clara de si se propone o no indultar a quienes dieron un golpe a nuestra democracia. Está muy claro por qué. 🎥👇🏻 ;14;11;2018
28;28;xavierdomenechs;comuns;"Necesitamos que el morado de Podemos tiña la sociedad catalana. 

Mi entrevista en @cuartopoder sobre @podem_cat y la situación política en Catalunya. 

";2018-04-07 11:09:21;106;153;es;"Necesitamos que el morado de Podemos tiña la sociedad catalana. 

Mi entrevista en @cuartopoder sobre @podem_cat y la situación política en Catalunya. 

";"Necesitamos que el morado de Podemos tiña la sociedad catalana. 

Mi entrevista en @cuartopoder sobre @podem_cat y la situación política en Catalunya. 

";7;4;2018
29;29;albiol_xg;ppc;"📺 Seguimos con las entrevistas: a partir de las 13:30h en @DebatAlRojoVivo de @laSextaTV. 

¡Os espero! ";2018-08-20 08:11:31;16;36;es;"📺 Seguimos con las entrevistas: a partir de las 13:30h en @DebatAlRojoVivo de @laSextaTV. 

¡Os espero! ";"📺 Seguimos con las entrevistas: a partir de las 13:30h en @DebatAlRojoVivo de @laSextaTV. 

¡Os espero! ";20;8;2018
30;30;jaumecollboni;psc;No podemos permitirnos estos niveles de desigualdad. Debemos impulsar un crecimiento inclusivo, luchar contra la precariedad salarial y proteger los colectivos más vulnerables de la sociedad ;2018-09-27 09:45:51;9;12;es;No podemos permitirnos estos niveles de desigualdad. Debemos impulsar un crecimiento inclusivo, luchar contra la precariedad salarial y proteger los colectivos más vulnerables de la sociedad ;No podemos permitirnos estos niveles de desigualdad. Debemos impulsar un crecimiento inclusivo, luchar contra la precariedad salarial y proteger los colectivos más vulnerables de la sociedad ;27;9;2018
31;31;inesarrimadas;cs;Después de décadas de gobierno socialista, los andaluces merecen y necesitan un cambio. Vamos a seguir trabajando para acabar con los enchufismos, los privilegios políticos, los impuestos injustos y la corrupción. Tenéis todo mi apoyo compañeros @Cs_Andalucia #MálagaNaranja ;2018-09-08 11:40:42;343;818;es;Después de décadas de gobierno socialista, los andaluces merecen y necesitan un cambio. Vamos a seguir trabajando para acabar con los enchufismos, los privilegios políticos, los impuestos injustos y la corrupción. Tenéis todo mi apoyo compañeros @Cs_Andalucia #MálagaNaranja ;Después de décadas de gobierno socialista, los andaluces merecen y necesitan un cambio. Vamos a seguir trabajando para acabar con los enchufismos, los privilegios políticos, los impuestos injustos y la corrupción. Tenéis todo mi apoyo compañeros @Cs_Andalucia #MálagaNaranja ;8;9;2018
32;32;jaumecollboni;psc;Progresista, feminista, integrador, en defensa de la diversidad y del desarrollo sostenible. Mensaje esperanzador de @sanchezcastejon en la Asamblea General de la @ONU_es #HagamosUnPaísMejor 🌎🌹@socialistes_cat @PSOE  👇🏼;2018-09-28 09:14:18;25;54;es;Progresista, feminista, integrador, en defensa de la diversidad y del desarrollo sostenible. Mensaje esperanzador de @sanchezcastejon en la Asamblea General de la @ONU_es #HagamosUnPaísMejor 🌎🌹@socialistes_cat @PSOE  👇🏼;Progresista, feminista, integrador, en defensa de la diversidad y del desarrollo sostenible. Mensaje esperanzador de @sanchezcastejon en la Asamblea General de la @ONU_es #HagamosUnPaísMejor 🌎🌹@socialistes_cat @PSOE  👇🏼;28;9;2018
33;33;albert_rivera;cs;Tenemos que unirnos, no para reconstruir ‘la izquierda’ o ‘la derecha’, sino para construir un nuevo proyecto para todos los españoles. Sólo así derrotaremos a los adversarios de España y de Europa: el nacionalismo y el populismo. 🇪🇸🇪🇺 #AlsasuaCiudadana ;2018-11-04 13:35:46;1509;3654;es;Tenemos que unirnos, no para reconstruir ‘la izquierda’ o ‘la derecha’, sino para construir un nuevo proyecto para todos los españoles. Sólo así derrotaremos a los adversarios de España y de Europa: el nacionalismo y el populismo. 🇪🇸🇪🇺 #AlsasuaCiudadana ;Tenemos que unirnos, no para reconstruir ‘la izquierda’ o ‘la derecha’, sino para construir un nuevo proyecto para todos los españoles. Sólo así derrotaremos a los adversarios de España y de Europa: el nacionalismo y el populismo. 🇪🇸🇪🇺 #AlsasuaCiudadana ;4;11;2018
34;34;albiol_xg;ppc;"En la inauguración de la nueva sede del Instituto de Investigación contra la leucemia @fcarreras, el centro científico más grande de Europa dedicado a investigar esta enfermedad. Un centro puntero para #Badalona 👌👌

#imparablescontralaleucemia ";2018-10-05 15:40:18;22;56;es;"En la inauguración de la nueva sede del Instituto de Investigación contra la leucemia @fcarreras, el centro científico más grande de Europa dedicado a investigar esta enfermedad. Un centro puntero para #Badalona 👌👌

#imparablescontralaleucemia ";"En la inauguración de la nueva sede del Instituto de Investigación contra la leucemia @fcarreras, el centro científico más grande de Europa dedicado a investigar esta enfermedad. Un centro puntero para #Badalona 👌👌

#imparablescontralaleucemia ";5;10;2018
35;35;quimtorraipla;jxcat;"Un cop més, qui va a buscar la justícia fora de l’Estat espanyol la troba. 
Felicitats @valtonyc per seguir sent un ciutadà lliure a Europa i t’esperem aviat a la República Catalana. ";2018-09-17 08:58:58;2732;9279;ca;"Un cop més, qui va a buscar la justícia fora de l’Estat espanyol la troba. 
Felicitats @valtonyc per seguir sent un ciutadà lliure a Europa i t’esperem aviat a la República Catalana. ";Una vez más, quien buscar la justicia fuera del Estado español la encuentra. Felicidades @valtonyc para seguir siendo un ciudadano libre en Europa y te esperamos pronto en la República Catalana. ;17;9;2018
36;36;jaumecollboni;psc;😳 La gent no viu en cartells, plànols, ni maquetes. La realitat és que l’Ajuntament té 80 solars buits sense construir habitatge públic. ;2018-10-03 07:46:07;22;37;ca;😳 La gent no viu en cartells, plànols, ni maquetes. La realitat és que l’Ajuntament té 80 solars buits sense construir habitatge públic. ;😳 La gente no vive en carteles, planos, ni maquetas. La realidad es que el Ayuntamiento tiene 80 solares vacíos sin construir vivienda pública. ;3;10;2018
37;37;jaumecollboni;psc;Nunca el ruido del dinero debería ser más escuchado que la voz de los ciudadanos. ;2018-11-07 06:38:40;26;52;es;Nunca el ruido del dinero debería ser más escuchado que la voz de los ciudadanos. ;Nunca el ruido del dinero debería ser más escuchado que la voz de los ciudadanos. ;7;11;2018
38;38;joantarda;erc;El Grupo d’ @Esquerra_ERC defenderá  y votará el miércoles  día  12 en la Comisión Pactos de Toledo a través del diputado @jsalvadorduch que las pensiones se incrementen siempre  de acuerdo con  el IPC.;2018-09-08 07:05:12;126;377;es;El Grupo d’ @Esquerra_ERC defenderá  y votará el miércoles  día  12 en la Comisión Pactos de Toledo a través del diputado @jsalvadorduch que las pensiones se incrementen siempre  de acuerdo con  el IPC.;El Grupo d’ @Esquerra_ERC defenderá  y votará el miércoles  día  12 en la Comisión Pactos de Toledo a través del diputado @jsalvadorduch que las pensiones se incrementen siempre  de acuerdo con  el IPC.;8;9;2018
39;39;miqueliceta;psc;Hi ha una diferència entre les seves crítiques a la justícia i les nostres. Nosaltres ho fem des de la defensa de l'Estat de Dret, del poder judicial i de la Constitució. Ho fem dient que encara que no ens agradéssin, les acataríem igualment. ;2018-11-07 10:24:07;28;61;ca;Hi ha una diferència entre les seves crítiques a la justícia i les nostres. Nosaltres ho fem des de la defensa de l'Estat de Dret, del poder judicial i de la Constitució. Ho fem dient que encara que no ens agradéssin, les acataríem igualment. ;Hay una diferencia entre sus críticas a la justicia y las nuestras. Nosotros lo hacemos desde la defensa del Estado de Derecho, del poder judicial y de la Constitución. Lo hacemos diciendo que aunque no nos guste, las acataríamos igualmente. ;7;11;2018
40;40;martarovira;erc;"(I) És el @parlament_cat qui escull el @govern de Catalunya. 
És el poble de #Catalunya qui elegeix el Parlament. 

De primer de #Democràcia";2017-09-23 16:31:13;551;1081;ca;"(I) És el @parlament_cat qui escull el @govern de Catalunya. 
És el poble de #Catalunya qui elegeix el Parlament. 

De primer de #Democràcia";(I) Es el @parlament_cat quien escoge el @govern de Cataluña. Es el pueblo de #Catalunya quien elige el Parlamento. De primero de # Democracia ;23;9;2017
41;41;inesarrimadas;cs;Mañana hace un año que el separatismo violó los derechos de millones de catalanes y utilizó el Parlament para cometer una aberración democrática. Os espero mañana en Reus para seguir defendiendo la libertad, la democracia y la convivencia en Cataluña ;2018-10-26 20:33:54;477;1163;es;Mañana hace un año que el separatismo violó los derechos de millones de catalanes y utilizó el Parlament para cometer una aberración democrática. Os espero mañana en Reus para seguir defendiendo la libertad, la democracia y la convivencia en Cataluña ;Mañana hace un año que el separatismo violó los derechos de millones de catalanes y utilizó el Parlament para cometer una aberración democrática. Os espero mañana en Reus para seguir defendiendo la libertad, la democracia y la convivencia en Cataluña ;26;10;2018
42;42;krls;jxcat;Gràcies  @PremisOctubre per la vostra solidaritat. Un honor poder-la sentir tan propera, malgrat les distàncies que imposen presó i exili. #PremisOctubre ;2018-10-28 16:20:48;393;1312;ca;Gràcies  @PremisOctubre per la vostra solidaritat. Un honor poder-la sentir tan propera, malgrat les distàncies que imposen presó i exili. #PremisOctubre ;Gracias @PremisOctubre por vuestra solidaridad. Un honor poder sentir tan cercana, a pesar de las distancias que imponen prisión y exilio. #PremisOctubre ;28;10;2018
43;43;jaumecollboni;psc;Hoy, en Barcelona, la Asociación Valenciana de Empresarios, AVE, convoca a todas las patronales a un nuevo acto en defensa de un eje ferroviario que Boira califica como “la infraestructura con mayor potencial de España” ;2018-09-27 06:48:51;8;9;es;Hoy, en Barcelona, la Asociación Valenciana de Empresarios, AVE, convoca a todas las patronales a un nuevo acto en defensa de un eje ferroviario que Boira califica como “la infraestructura con mayor potencial de España” ;Hoy, en Barcelona, la Asociación Valenciana de Empresarios, AVE, convoca a todas las patronales a un nuevo acto en defensa de un eje ferroviario que Boira califica como “la infraestructura con mayor potencial de España” ;27;9;2018
44;44;xavierdomenechs;comuns;"“Per damunt de tot, cultura. Res no quedarà de l’esforç cívic dels nostres dies sense la pressió d’un ambient que ens porti a tots pels camins més càlids de la intel·ligència” 

(Editorial, “El Federal”, abril de 1931). 

Bon dia de la llibertat i la cultura. 

#SantJordi";2018-04-23 08:02:29;59;81;ca;"“Per damunt de tot, cultura. Res no quedarà de l’esforç cívic dels nostres dies sense la pressió d’un ambient que ens porti a tots pels camins més càlids de la intel·ligència” 

(Editorial, “El Federal”, abril de 1931). 

Bon dia de la llibertat i la cultura. 

#SantJordi";"""Por encima de todo, cultura. Nada quedará del esfuerzo cívico de nuestros días sin la presión de un ambiente que nos lleve a todos los caminos más cálidos de la inteligencia ""(Editorial,"" El Federal "", abril de 1931). Buen día de la libertad y la cultura. #SantJordi ";23;4;2018
45;45;martarovira;erc;Avui hem registrat la Llei que regula el #referèndum. El dret a l’autodeterminació és inalienable i l’exercirem el proper 1 d’octubre! ;2017-07-31 14:03:02;285;435;ca;Avui hem registrat la Llei que regula el #referèndum. El dret a l’autodeterminació és inalienable i l’exercirem el proper 1 d’octubre! ;Hoy hemos registrado la Ley que regula el # referéndum. El derecho a la autodeterminación es inalienable y la ejerceremos el próximo 1 de octubre! ;31;7;2017
46;46;albiol_xg;ppc;Resulta bastante sorprendente que el PSC se haya  abstenido hoy en el @parlamentcat en la propuesta de dimisión de @QuimTorraiPla que hemos presentado desde el @PPCatalunya. Aún queda alguna duda sobre si existe algún pacto oculto entre PSC y los independentistas??? ;2018-10-09 14:26:44;154;231;es;Resulta bastante sorprendente que el PSC se haya  abstenido hoy en el @parlamentcat en la propuesta de dimisión de @QuimTorraiPla que hemos presentado desde el @PPCatalunya. Aún queda alguna duda sobre si existe algún pacto oculto entre PSC y los independentistas??? ;Resulta bastante sorprendente que el PSC se haya  abstenido hoy en el @parlamentcat en la propuesta de dimisión de @QuimTorraiPla que hemos presentado desde el @PPCatalunya. Aún queda alguna duda sobre si existe algún pacto oculto entre PSC y los independentistas??? ;9;10;2018
47;47;quimtorraipla;jxcat;"“Cercàvem or i vam baixar a la mina. 
I la foscor s’il.luminà de sobte 
perquè érem dos a contradir la nit.”
Víctor Obiols llegeix Llibre d’Amic de Joan Vinyoli. Casa de la Paraula. Santa Coloma de Farners ⁦@catedravinyoli⁩ ⁦@AjSCFarners⁩ ";2018-11-17 19:30:39;29;120;ca;"“Cercàvem or i vam baixar a la mina. 
I la foscor s’il.luminà de sobte 
perquè érem dos a contradir la nit.”
Víctor Obiols llegeix Llibre d’Amic de Joan Vinyoli. Casa de la Paraula. Santa Coloma de Farners ⁦@catedravinyoli⁩ ⁦@AjSCFarners⁩ ";"""Buscábamos oro y bajamos a la mina. Y la oscuridad se ilumina de repente porque éramos dos a contradecir la noche. ""Víctor Obiols lee Libro de Amigo de Joan Vinyoli. Casa de la Palabra. Santa Coloma de Farners @catedravinyoli @AjSCFarners ";17;11;2018
