Id;username;party;text;created_at;retweet_count;favorite_count;text_clean
15;mvilaredon;bcncapital;"Aquest judici no només pretén jutjar ""idees"", sinó la capacitat d'executar-les a través de l'exercici d'un dret perfectament legal com el dret a l'autodeterminació. L'acció política quedarà encara més minvada. La independència no és impossible.";2019-02-14 18:31:36;27;65;aquest judici no nomes preten jutjar idees sino la capacitat d executar les a traves de l exercici d un dret perfectament legal com el dret a l autodeterminacio l accio politica quedara encara mes minvada la independencia no es impossible 
16;DianaRibaGiner;erc;Avui @raulromeva i @jorditurull han desmuntat altre cop les acusacions. Si el Tribunal fa atenció a la llei i no a la ideologia, han de quedar lliures. Els demanem que siguin valents i tornin a la política el que és de la política. ;2019-02-19 20:23:38;839;3653;avui raulromeva i jorditurull han desmuntat altre cop les acusacions si el tribunal fa atencio a la llei i no a la ideologia han de quedar lliures els demanem que siguin valents i tornin a la politica el que es de la politica 
17;DianaRibaGiner;erc;La presó dura un temps, però la dignitat i l’orgull son per sempre. Gràcies a tots per ser-hi, gràcies @raulromeva per omplir-nos d’#EsperançaiLlibertat ;2019-01-23 20:37:01;178;928;la preso dura un temps pero la dignitat i l orgull son per sempre gracies a tots per ser hi gracies raulromeva per omplir nos d esperancaillibertat 
18;G_Pisarello;bcomu;"Valls insisteix que C’s i Vox no tenen res a veure. Doncs millor que comencin a esborrar hemeroteca👇🏼
";2019-01-13 15:36:26;284;392;valls insisteix que c s i vox no tenen res a veure doncs millor que comencin a esborrar hemeroteca 
19;josebouvila;pp;"Ahora entiendo a qué se refería @Albert_Rivera cuando decía que no iba a pactar con los socialistas, se refería a que iba a meterlos dentro de la candidatura de @ManuelValls #BouBCN2019
";2019-02-28 16:21:54;66;76;ahora entiendo a que se referia albertrivera cuando decia que no iba a pactar con los socialistas se referia a que iba a meterlos dentro de la candidatura de manuelvalls boubcn 
20;manuelvalls;vallsbcn;Cada español tiene que leer esta carta porque hay urgencia. Es la hoja de ruta para los europeos que tienen que unirse frente a los nacionalistas y a los populistas. @CiudadanosCs @PSOE @PPopular tienen que participar juntos a ese renacimiento europeo. ;2019-03-05 07:24:29;90;233;cada espanol tiene que leer esta carta porque hay urgencia es la hoja de ruta para los europeos que tienen que unirse frente a los nacionalistas y a los populistas ciudadanoscs psoe ppopular tienen que participar juntos a ese renacimiento europeo 
21;magrinyajordi;cup;"“Barcelona va ser la primera ciutat que va rebre la certificació Biosphere l’any 2011 i el 2018 va revalidar la distinció.”
Per enmarcar de quin tipus de certificacions estem parlant... ";2019-03-25 14:19:15;3;10; barcelona va ser la primera ciutat que va rebre la certificacio biosphere l any i el va revalidar la distincio per enmarcar de quin tipus de certificacions estem parlant 
22;albertofdezxbcn;pp;Esta mañana en el #PleBCN denuncié la Barcelona secuestrada por los CDR y la pasividad de la alcaldesa Ada Colau ;2018-12-21 19:38:05;35;67;esta manana en el plebcn denuncie la barcelona secuestrada por los cdr y la pasividad de la alcaldesa ada colau 
23;subirats9;bcomu;El llibre presenta un balanç de les polítiques públiques a Catalunya des de la recuperació de la democracia i els més de 40 autors presenten també els reptes de futur de les diferents àrees. Us esperem! ;2019-02-23 12:07:57;15;54;el llibre presenta un balanc de les politiques publiques a catalunya des de la recuperacio de la democracia i els mes de autors presenten tambe els reptes de futur de les diferents arees us esperem 
24;ernestmaragall;erc;"Sumar, sumar i sumar. Que cadascú treballi des del seu projecte de ciutat. I a partir de les eleccions: entendre'ns, entendre’ns i entendre'ns. 

Des de la unitat d’acció sobiranista per l’avenç cap a la República amb la màxima potència. [FIL] ";2019-01-27 13:49:42;181;468;sumar sumar i sumar que cadascu treballi des del seu projecte de ciutat i a partir de les eleccions entendre ns entendre ns i entendre ns des de la unitat d accio sobiranista per l avenc cap a la republica amb la maxima potencia fil 
25;AdriaAlsina;bcncapital;Atents a la bona gent de @ElVendrell2019, que ja tenen 21 candidats/es i estan a punt per donar la campanada! ;2019-02-07 20:34:43;9;26;atents a la bona gent de elvendrell que ja tenen candidats es i estan a punt per donar la campanada 
26;ernesturtasun;bcomu;Aquesta és una molt bona notícia. Cal guanyar el repte del cotxe elèctric per un sector que representa el 10% del PIB del país. Cal que les administracions s’impliquin perquè vagi augmentant la càrrega a plantes com la de Martorell o Nissan. ;2019-03-29 09:37:27;2;9;aquesta es una molt bona noticia cal guanyar el repte del cotxe electric per un sector que representa el del pib del pais cal que les administracions s impliquin perque vagi augmentant la carrega a plantes com la de martorell o nissan 
27;janetsanz;bcomu;"Complim el nostre compromís: hem cobert el primer tram de la Ronda de Dalt amb una inversió de 16M€.

Corregim un deute històric amb aquests barris i amb les demandes dels veïns i veïnes.

";2019-01-27 17:10:35;32;67;complim el nostre compromis hem cobert el primer tram de la ronda de dalt amb una inversio de mEUR corregim un deute historic amb aquests barris i amb les demandes dels veins i veines 
28;jaumecollboni;psc;Acabem el dia a @antinouslibros. Reunit amb amigues i amics parlant sobre Barcelona i la perspectiva #LGTBI 🌈. Converses de petit format que construeixen #Barcelona i que he recollit al llibre “#ImaginemBarcelona” 📚#EstimoBCN/❤️ ;2019-03-26 19:48:56;8;18;acabem el dia a antinouslibros reunit amb amigues i amics parlant sobre barcelona i la perspectiva lgtbi converses de petit format que construeixen barcelona i que he recollit al llibre imaginembarcelona estimobcn 
29;lauballarin;psc;"Mañana intensa!! 
Gracias a tod@s por venir y el apoyo. ☺️💁🏻‍♀️❤️ #LaEspañaQueQuieres @EspanaqQuieres ";2019-02-19 12:57:31;0;3;manana intensa gracias a tods por venir y el apoyo laespanaquequieres espanaqquieres 
30;josebouvila;pp;"Muchas gracias @AlmeidaPP_ por tus palabras y, sobre todo, por haber acompañado hoy a tantos madrileños en #Barcelona
#BouBCN2019 ";2019-03-20 16:29:03;36;86;muchas gracias almeidapp por tus palabras y sobre todo por haber acompanado hoy a tantos madrilenos en barcelona boubcn 
31;javiermulleras;pp;⚪️El CAP del Raval y la ampliación del MACBA son equipamientos  complementarios e imprescindibles para un barrio tan importante para #bcn AdaColau ha creado un conflicto innecesario, retrasando estos dos proyectos y enfrentando la salud con la cultura #StopColau ;2019-02-07 17:30:16;1;7; el cap del raval y la ampliacion del macba son equipamientos complementarios e imprescindibles para un barrio tan importante para bcn adacolau ha creado un conflicto innecesario retrasando estos dos proyectos y enfrentando la salud con la cultura stopcolau 
32;gonzalezpons;pp;La negociación de Gibraltar le pilló en Cuba, ¿dónde le ha pillado a Borrell la expulsión por Maduro de tres diputados españoles invitados oficiales de la Asamblea de Venezuela? No merecemos un ministro que prefiere defender a Maduro que a quienes ayudan a su pueblo exhausto.;2019-02-18 18:05:40;243;361;la negociacion de gibraltar le pillo en cuba donde le ha pillado a borrell la expulsion por maduro de tres diputados espanoles invitados oficiales de la asamblea de venezuela no merecemos un ministro que prefiere defender a maduro que a quienes ayudan a su pueblo exhausto 
33;DolorsMM;pp;"Hemos conseguido que Sánchez tire la toalla. Ha llegado la hora de que el @PPopular vuelva a gobernar. España nos necesita más que nunca y nos vamos a dejar la piel para solucionar los desastres del sanchismo. ¡Salimos a ganar! 

#EleccionesGenerales ";2019-02-15 10:37:31;235;655;hemos conseguido que sanchez tire la toalla ha llegado la hora de que el ppopular vuelva a gobernar espana nos necesita mas que nunca y nos vamos a dejar la piel para solucionar los desastres del sanchismo salimos a ganar eleccionesgenerales 
34;jaumecollboni;psc;Aquesta tarda amb @MagdaOranich acompanyaré @KarMarchante en la presentació del seu llibre #PutaNoSeNace. Unim veus en la lluita pels drets de les dones i en contra de la #prostitució. Us espero a @LibreriaALIBRI a partir de les 19h. ;2019-02-26 13:46:34;13;25;aquesta tarda amb magdaoranich acompanyare karmarchante en la presentacio del seu llibre putanosenace unim veus en la lluita pels drets de les dones i en contra de la prostitucio us espero a libreriaalibri a partir de les h 
35;leobejarano;cup;Encara som a temps. El futur son les decisions que prenem ara. És una decisió complexa. Després de la fi del món. Avui inaugurem #ClimaCCCB ;2017-10-24 16:07:18;15;42;encara som a temps el futur son les decisions que prenem ara es una decisio complexa despres de la fi del mon avui inaugurem climacccb 
36;annasaliente;cup;L'alcaldessa del poble @AdaColau i @rogertorrent sopant amb felip VI. La guardia reial dels @mossos protegint les restes d'un règim que s'enfonsa. Enfront, el poder dels CDRs no s'atura!  #DESTRONEMLO #CDRenXarxa;2018-02-25 19:52:38;40;53;l alcaldessa del poble adacolau i rogertorrent sopant amb felip vi la guardia reial dels mossos protegint les restes d un regim que s enfonsa enfront el poder dels cdrs no s atura destronemlo cdrenxarxa
37;ballarinmontsek;psc;"🤷‍♀️ ¿Qué te puede pasar más cuando estás a punto de acabar mandato municipal y a punto de iniciar campaña(s) electoral(es)? 

💁‍♀️ Pues...  ¡que una doctoranda te entregue su tesis acabada para que le des el ok y pueda convertirse en doctora!
#goodnews #PhD #Upf #working ";2019-03-20 17:24:56;1;14; que te puede pasar mas cuando estas a punto de acabar mandato municipal y a punto de iniciar campana s electoral es pues que una doctoranda te entregue su tesis acabada para que le des el ok y pueda convertirse en doctora goodnews phd upf working 
38;mvilaredon;bcncapital;"Demà a les 18h al Convent de St. Agustí, segona jornada de taules obertes: mobilitat i urbanisme, medi ambient i participació.

Comptem amb les aportacions de tothom. Ni podem ni sabem fer altra cosa: som l'única candidatura sorgida íntegrament d'unes primàries obertes. ";2019-03-14 17:24:17;23;23;dema a les h al convent de st agusti segona jornada de taules obertes mobilitat i urbanisme medi ambient i participacio comptem amb les aportacions de tothom ni podem ni sabem fer altra cosa som l unica candidatura sorgida integrament d unes primaries obertes 
39;manuelvalls;vallsbcn;@jaumecollboni, que nivel de argumentos..Eran los mismos antes del 8 de octobre 2017 en BCN. Domingo yo manifestaré en favor de la Constitución. Con partidos constitucionalistas y el más votado en Cataluña @CiudadanosCs. Yo no pactaré con los populistas o los separatistas. Y el? ;2019-02-08 22:28:28;35;108;jaumecollboni que nivel de argumentos eran los mismos antes del de octobre en bcn domingo yo manifestare en favor de la constitucion con partidos constitucionalistas y el mas votado en cataluna ciudadanoscs yo no pactare con los populistas o los separatistas y el 
40;DolorsMM;pp;"Hoy hemos celebrado la última Reunión Plenaria del @GPPopular en esta legislatura. La dedicación y el trabajo sin descanso de los diputados del @PPopular ha hecho posible que lideremos la iniciativa política en España.

Estamos preparados e ilusionados para volver a ganar. 🇪🇸 ";2019-02-26 20:50:55;58;143;hoy hemos celebrado la ultima reunion plenaria del gppopular en esta legislatura la dedicacion y el trabajo sin descanso de los diputados del ppopular ha hecho posible que lideremos la iniciativa politica en espana estamos preparados e ilusionados para volver a ganar 
41;gonzalezpons;pp;Acabamos de aterrizar en Venezuela. Durante la escala en Santo Domingo tanto la embajadora de la UE como el de España nos han avisado de que vamos a ser expulsados o retenidos.;2019-02-17 23:03:53;1565;1195;acabamos de aterrizar en venezuela durante la escala en santo domingo tanto la embajadora de la ue como el de espana nos han avisado de que vamos a ser expulsados o retenidos 
42;dianacoromines;bcncapital;Ah, sí? Què hi tinc a veure, jo, amb CIU i La Caixa? M'agradarà molt que me n'informeu, sobretot per tal de cobrar el rèdit que em correspongui. ;2019-03-02 22:07:34;13;34;ah si que hi tinc a veure jo amb ciu i la caixa m agradara molt que me n informeu sobretot per tal de cobrar el redit que em correspongui 
43;leobejarano;cup;"El proper dimarts 20/03 ""Taller de design thinking: Geoinformació i clima"" de la mà de @marc_torres_ i Marta González al @cececebe  ";2018-03-12 12:03:30;10;17;el proper dimarts taller de design thinking geoinformacio i clima de la ma de marctorres i marta gonzalez al cececebe 
44;manuelvalls;vallsbcn;Es una muy buena noticia para España, Cataluña y Barcelona. Necesitamos a @InesArrimadas y su valentía, su talento, su juventud, su sensibilidad. Bravo Inès! ;2019-02-23 12:23:43;264;903;es una muy buena noticia para espana cataluna y barcelona necesitamos a inesarrimadas y su valentia su talento su juventud su sensibilidad bravo ines 
45;ballarinmontsek;psc;"👉 Els @pscbarcelona volem tendir ponts, diàleg i treballar per atraure inversions i talent, generar ocupació i dinamitzar l'activitat econòmica a #Barcelona. 
👉 La fugida d’empreses del 2017 va ser, sobretot, per la irresponsabilitat dels #independentistes. 
#comissionsBcn";2018-10-29 10:42:09;10;16; els pscbarcelona volem tendir ponts dialeg i treballar per atraure inversions i talent generar ocupacio i dinamitzar l activitat economica a barcelona la fugida d empreses del va ser sobretot per la irresponsabilitat dels independentistes comissionsbcn
46;laiabonetrull;psc;“No oblidéssim quantes vegades aquest país s’ha deixat portar pel rampell, l’acceleració en el moment inadequat” ;2017-10-09 15:20:44;8;11; no oblidessim quantes vegades aquest pais s ha deixat portar pel rampell l acceleracio en el moment inadequat 
47;KRLS;jxcat;Tot el meu suport als joves d'Altsasua, i tot l'afecte a les seves famílies. Que ningú no oblidi aquesta injustícia @Altsasugurasoak ;2019-03-24 11:47:05;3914;11550;tot el meu suport als joves d altsasua i tot l afecte a les seves families que ningu no oblidi aquesta injusticia altsasugurasoak 
48;lauballarin;psc;"Who said a referendum was a good idea??!! 🤔
UK citizens are clueless about their future, and probably about their present. Sad, very sad. #Brexit 🇬🇧 ";2019-01-15 20:02:36;0;2;who said a referendum was a good idea uk citizens are clueless about their future and probably about their present sad very sad brexit 
49;g_lopezsanz;bcncapital;"Sí, paga la pena anar contra els partits per aconseguir la independència. I sí, això també farà més forta l’ANC; molt més que el servilisme dels últims anys. ";2018-11-20 10:09:45;4;16;si paga la pena anar contra els partits per aconseguir la independencia i si aixo tambe fara mes forta l anc molt mes que el servilisme dels ultims anys 
50;PareraEva;vallsbcn;Carta abierta de ⁦@EmmanuelMacron⁩ a los ciudadanos europeos con profundas reflexiones e interesantes propuestas. De necesaria lectura ;2019-03-05 08:38:38;3;5;carta abierta de emmanuelmacron a los ciudadanos europeos con profundas reflexiones e interesantes propuestas de necesaria lectura 
51;jaumecollboni;psc;Volem posar els barris al centre de les prioritats. Perquè a Barcelona falten transformacions reals per a combatre les desigualtats. Més equipaments de proximitat, espais verds, transport públic. Avui en parlem! 👇🏼 ;2019-03-19 07:12:51;52;96;volem posar els barris al centre de les prioritats perque a barcelona falten transformacions reals per a combatre les desigualtats mes equipaments de proximitat espais verds transport public avui en parlem 
52;jordicoronas;erc;4 persones han perdut la vida en 3 incendis aquesta setmana. Avui dues a Les Corts. El meu condol per a les famílies i a l’espera de conèixer les causes. Potser cal fer un esforç en prevenció per evitar i frenar aquesta ratxa negra;2019-03-03 08:54:33;19;51; persones han perdut la vida en incendis aquesta setmana avui dues a les corts el meu condol per a les families i a l espera de coneixer les causes potser cal fer un esforc en prevencio per evitar i frenar aquesta ratxa negra
53;joanlopezalegre;pp;QSF debería haber sido cesado cuando negocio con el Stoke en el mercado de invierno #RCDE Porque se puede ser modesto pero no dejarse pisotear ;2018-04-20 19:27:06;17;51;qsf deberia haber sido cesado cuando negocio con el stoke en el mercado de invierno rcde porque se puede ser modesto pero no dejarse pisotear 
54;javiermulleras;pp;Milers d'€ en propaganda, fan servir la #pobresaenergètica per fer política i no fan política per fer front a la pobresa energètica #pleBCN ;2016-12-23 09:33:00;18;11;milers d EUR en propaganda fan servir la pobresaenergetica per fer politica i no fan politica per fer front a la pobresa energetica plebcn 
55;gonzalezpons;pp;Aprovechar la oportunidad para anticipar elecciones valencianas y singularizarlas ya para siempre es conseguir que se cumpla nuestra vieja aspiración de no ser relegados. De resultar visibles. El egoísmo es preferir seguir en el pelotón sólo por cálculo electoral. Adiós LOTRAVA.;2019-03-02 09:36:04;13;42;aprovechar la oportunidad para anticipar elecciones valencianas y singularizarlas ya para siempre es conseguir que se cumpla nuestra vieja aspiracion de no ser relegados de resultar visibles el egoismo es preferir seguir en el peloton solo por calculo electoral adios lotrava 
56;montsebenedi;erc;.@menagadea t’hem trobat a faltar. Gràcies, gràcies, gràcies! #VamVotarVamGuanyar;2018-09-30 20:01:34;1;4; menagadea t hem trobat a faltar gracies gracies gracies vamvotarvamguanyar
57;manuelvalls;vallsbcn;No!..obviamente los barceloneses tendrán que escoger un modelo de ciudad: el mío o el de #Colau. Pero la independencia será el gran tema:  #BCN capital catalana, española, europea..o..#BCN capital de una hipotética republica catalana.. y #Colau es la candidata del separatismo. ;2019-02-23 08:21:36;68;183;no obviamente los barceloneses tendran que escoger un modelo de ciudad el mio o el de colau pero la independencia sera el gran tema bcn capital catalana espanola europea o bcn capital de una hipotetica republica catalana y colau es la candidata del separatismo 
58;AdaColau;bcomu;Hoy el Consejo de Ministros ha aprobado un decreto con mejoras en el alquiler que llevábamos tiempo reclamando. Pero Pedro Sánchez ha incumplido lo más importante: regular las subidas abusivas del alquiler, cediendo a las presiones de fondos especuladores ;2019-03-01 15:35:43;866;1453;hoy el consejo de ministros ha aprobado un decreto con mejoras en el alquiler que llevabamos tiempo reclamando pero pedro sanchez ha incumplido lo mas importante regular las subidas abusivas del alquiler cediendo a las presiones de fondos especuladores 
59;janetsanz;bcomu;"Les #CiutatsdelCanvi vam venir per canviar les coses. Municipis més justos, més sostenibles, més habitables, més democràtics i més amables per a la ciutadania. I això no ha fet més que començar.  

Vols conèixer les nostres polítiques? #CiudadesdelCambio ";2018-10-23 09:13:00;26;45;les ciutatsdelcanvi vam venir per canviar les coses municipis mes justos mes sostenibles mes habitables mes democratics i mes amables per a la ciutadania i aixo no ha fet mes que comencar vols coneixer les nostres politiques ciudadesdelcambio 
60;Elisendalamany;erc;"Cuando VOX te marca el paso, acabas diciendo tonterías como esta: ""aplicar el 155 para acabar con las huelgas"".  ";2018-11-30 10:38:30;76;161;cuando vox te marca el paso acabas diciendo tonterias como esta aplicar el para acabar con las huelgas 
61;fjavilopez;psc;La fantasía del Brexit está demoliendo la credibilidad del Reino Unido, laminando sus instituciones y fracturando su sociedad. Produce incredulidad ver cómo aún no han entendido qué es la UE. La tristeza por su pérdida está mutando en irritación. La paciencia parece agotarse.;2019-03-13 10:50:26;24;52;la fantasia del brexit esta demoliendo la credibilidad del reino unido laminando sus instituciones y fracturando su sociedad produce incredulidad ver como aun no han entendido que es la ue la tristeza por su perdida esta mutando en irritacion la paciencia parece agotarse 
62;laiabonetrull;psc;Compartint impressions sobre la situació politica a Catalunya amb un equip de la cadena xinesa @CGTNOfficial, en emissió europea #Diada2017 ;2017-09-11 20:06:34;4;12;compartint impressions sobre la situacio politica a catalunya amb un equip de la cadena xinesa cgtnofficial en emissio europea diada 
63;Jaumeasens;bcomu;"La nostra història no és completa sense la història del poble gitano. Ara la volem portar al Congrés. Un orgull incorporar l'@Ismael_CortesG. 
Benvingut a l'equip! 

";2019-03-22 17:59:53;30;83;la nostra historia no es completa sense la historia del poble gitano ara la volem portar al congres un orgull incorporar l ismaelcortesg benvingut a l equip 
64;CarinaMejias;vallsbcn;"🛳 El buque de la Armada “Juan Carlos I” recibido en Getxo, por una multitud que se ha acercado a recibirlo.
🇪🇸 Ningún buque español necesita autorización política para atracar en un puerto español porque está en su casa.
Como en Getxo! 💪 ";2019-03-23 18:30:52;26;68; el buque de la armada juan carlos i recibido en getxo por una multitud que se ha acercado a recibirlo ningun buque espanol necesita autorizacion politica para atracar en un puerto espanol porque esta en su casa como en getxo 
65;Elisendalamany;erc;Arrimadas avui al @parlamentcat: “Aquí son muy gallitos, pero delante del juez se vienen abajo”. La força política que va guanyar les eleccions de Catalunya. Desagradable, trist.;2019-03-20 12:35:59;923;5055;arrimadas avui al parlamentcat aqui son muy gallitos pero delante del juez se vienen abajo la forca politica que va guanyar les eleccions de catalunya desagradable trist 
66;AdriaAlsina;bcncapital;Benvolgut conseller @damiacalvet, sé que últimament ha estat molt ocupat expulsant empreses del país, però ens podria explicar com va el préstec per reprendre les obres de la Línia 9 que s'havia d'aprovar l'any passat? @transportcat @transportpublic ;2019-01-31 17:03:24;15;22;benvolgut conseller damiacalvet se que ultimament ha estat molt ocupat expulsant empreses del pais pero ens podria explicar com va el prestec per reprendre les obres de la linia que s havia d aprovar l any passat transportcat transportpublic 
67;manuelvalls;vallsbcn;"🗣En unos minutos comenzamos con Carlos Herrera en @HerreraenCOPE @COPE 

📲 Podrás seguirla en directo aquí: 

#VallsBCN2019 #VallsenCOPE ";2019-02-22 07:33:20;5;12;en unos minutos comenzamos con carlos herrera en herreraencope cope podras seguirla en directo aqui vallsbcn vallsencope 
68;jordicoronas;erc;Barcelona no seria avui en dia la ciutat que es, i ell no hauria estat algú tan rellevant sense Barcelona. Ara sí, per fi, Oriol Bohigas medalla d’or de la ciutat. ;2018-10-25 17:52:58;4;13;barcelona no seria avui en dia la ciutat que es i ell no hauria estat algu tan rellevant sense barcelona ara si per fi oriol bohigas medalla d or de la ciutat 
69;javiermulleras;pp;Dubte resolt! ERC demana PRIORITZAR refugiats gais però s'escandalitza amb el mateix pels cristians perseguits @montsebenedi @albertlesan ;2017-06-01 18:01:12;18;13;dubte resolt erc demana prioritzar refugiats gais pero s escandalitza amb el mateix pels cristians perseguits montsebenedi albertlesan 
70;elpiratavell;cup;Des de l'@Obs_Climatic seguim analitzant, reflexionant i debatint sobre el model lineal de consum del capitalisme i el seu impacte sobre l'entorn natural #canviclimàtic #MWC19 ;2019-02-28 21:35:36;4;8;des de l obsclimatic seguim analitzant reflexionant i debatint sobre el model lineal de consum del capitalisme i el seu impacte sobre l entorn natural canviclimatic mwc 
71;joanlopezalegre;pp;Artadi tiene la desfachatez de compararse con Ana Frank y olvida quienes son sus amigos y los de su jefe KRLS en Bélgica ;2019-03-12 20:54:44;229;374;artadi tiene la desfachatez de compararse con ana frank y olvida quienes son sus amigos y los de su jefe krls en belgica 
72;ballarinmontsek;psc;"👉 Enhorabona a la comunitat del @projectehomeCAT per la inauguració dels seus nous espais a @BCN_SantsMont.

👉 Un projecte de persones 
i per a persones...

... que sempre em recorda com tothom pot tornar a nèixer si se l’ajuda de manera adequada❤️👇 ";2019-03-27 17:47:20;1;7; enhorabona a la comunitat del projectehomecat per la inauguracio dels seus nous espais a bcnsantsmont un projecte de persones i per a persones que sempre em recorda com tothom pot tornar a neixer si se l ajuda de manera adequada 
