ResponseMetadata;Sentiment;SentimentScore
{'RequestId': '064d6f56-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '064d6f56-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:35 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.015567970462143421, 'Negative': 0.02320227026939392, 'Neutral': 0.9432088136672974, 'Mixed': 0.018020890653133392}
{'RequestId': '065d26c7-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '065d26c7-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '162', 'date': 'Mon, 10 Jun 2019 09:13:35 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.02451692521572113, 'Negative': 0.06778641790151596, 'Neutral': 0.8806343078613281, 'Mixed': 0.027062326669692993}
{'RequestId': '066cb728-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '066cb728-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '162', 'date': 'Mon, 10 Jun 2019 09:13:35 GMT'}, 'RetryAttempts': 0};POSITIVE;{'Positive': 0.6948352456092834, 'Negative': 0.0022570735309273005, 'Neutral': 0.28609499335289, 'Mixed': 0.016812775284051895}
{'RequestId': '06a86099-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '06a86099-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:35 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.31888481974601746, 'Negative': 0.010704195126891136, 'Neutral': 0.6439355611801147, 'Mixed': 0.0264754518866539}
{'RequestId': '06b7a2da-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '06b7a2da-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '160', 'date': 'Mon, 10 Jun 2019 09:13:35 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.39165306091308594, 'Negative': 0.04589530825614929, 'Neutral': 0.488360196352005, 'Mixed': 0.07409147918224335}
{'RequestId': '06c907fc-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '06c907fc-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '160', 'date': 'Mon, 10 Jun 2019 09:13:35 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.03565773367881775, 'Negative': 0.12152869254350662, 'Neutral': 0.803566038608551, 'Mixed': 0.03924756124615669}
{'RequestId': '06d8985d-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '06d8985d-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:35 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.19409306347370148, 'Negative': 0.008492243476212025, 'Neutral': 0.7803377509117126, 'Mixed': 0.017076943069696426}
{'RequestId': '06ea99bf-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '06ea99bf-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '165', 'date': 'Mon, 10 Jun 2019 09:13:36 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.025101283565163612, 'Negative': 0.0005429037846624851, 'Neutral': 0.9724432826042175, 'Mixed': 0.0019125154940411448}
{'RequestId': '06fa5130-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '06fa5130-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '162', 'date': 'Mon, 10 Jun 2019 09:13:36 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.03890688344836235, 'Negative': 0.010993844829499722, 'Neutral': 0.942048966884613, 'Mixed': 0.008050351403653622}
{'RequestId': '07099371-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '07099371-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:36 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.26983147859573364, 'Negative': 0.002996714087203145, 'Neutral': 0.7150235772132874, 'Mixed': 0.012148180045187473}
{'RequestId': '0719c012-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0719c012-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:36 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.17264290153980255, 'Negative': 0.019679054617881775, 'Neutral': 0.7817249894142151, 'Mixed': 0.025953061878681183}
{'RequestId': '07277bb3-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '07277bb3-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:36 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.06474651396274567, 'Negative': 0.3971865773200989, 'Neutral': 0.41922539472579956, 'Mixed': 0.11884148418903351}
{'RequestId': '0735ac84-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0735ac84-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:36 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.05713089182972908, 'Negative': 0.001694297301582992, 'Neutral': 0.938890278339386, 'Mixed': 0.00228445534594357}
{'RequestId': '0746c385-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0746c385-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '165', 'date': 'Mon, 10 Jun 2019 09:13:36 GMT'}, 'RetryAttempts': 0};POSITIVE;{'Positive': 0.9699952602386475, 'Negative': 8.734606672078371e-05, 'Neutral': 0.025496959686279297, 'Mixed': 0.004420489072799683}
{'RequestId': '075605c6-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '075605c6-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '162', 'date': 'Mon, 10 Jun 2019 09:13:36 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.1844153255224228, 'Negative': 0.003974032588303089, 'Neutral': 0.7999017238616943, 'Mixed': 0.011708949692547321}
{'RequestId': '07687c57-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '07687c57-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '160', 'date': 'Mon, 10 Jun 2019 09:13:36 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.046077173203229904, 'Negative': 0.2250104546546936, 'Neutral': 0.684242308139801, 'Mixed': 0.04467005655169487}
{'RequestId': '0779e179-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0779e179-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '164', 'date': 'Mon, 10 Jun 2019 09:13:36 GMT'}, 'RetryAttempts': 0};POSITIVE;{'Positive': 0.5181761980056763, 'Negative': 0.012009945698082447, 'Neutral': 0.43974125385284424, 'Mixed': 0.030072607100009918}
{'RequestId': '0789e70b-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0789e70b-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '159', 'date': 'Mon, 10 Jun 2019 09:13:37 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.011288272216916084, 'Negative': 0.15115986764431, 'Neutral': 0.7805092334747314, 'Mixed': 0.05704266577959061}
{'RequestId': '0799505c-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0799505c-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '159', 'date': 'Mon, 10 Jun 2019 09:13:37 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.1027279645204544, 'Negative': 0.2489459067583084, 'Neutral': 0.4652913212776184, 'Mixed': 0.18303485214710236}
{'RequestId': '07a8929d-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '07a8929d-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '164', 'date': 'Mon, 10 Jun 2019 09:13:37 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.10861347615718842, 'Negative': 0.0017489102901890874, 'Neutral': 0.8865038156509399, 'Mixed': 0.003133768681436777}
{'RequestId': '07b84a0f-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '07b84a0f-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '162', 'date': 'Mon, 10 Jun 2019 09:13:37 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.00471807736903429, 'Negative': 0.007730609737336636, 'Neutral': 0.981187105178833, 'Mixed': 0.006364264525473118}
{'RequestId': '07c98821-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '07c98821-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:37 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.0806254968047142, 'Negative': 0.054441433399915695, 'Neutral': 0.8425914645195007, 'Mixed': 0.02234160341322422}
{'RequestId': '07d8ca62-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '07d8ca62-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '164', 'date': 'Mon, 10 Jun 2019 09:13:37 GMT'}, 'RetryAttempts': 0};NEGATIVE;{'Positive': 0.016541656106710434, 'Negative': 0.46033307909965515, 'Neutral': 0.45524871349334717, 'Mixed': 0.06787649542093277}
